position,candidate,party,district
SANGGUNIANG BAYAN,"ANTAO, THING",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"GUIALAB, SHUAD",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"MAMANTAL, MAYLYN",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"SANI, MOHAMMAD",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"BACOL, HARIB",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"GUIAMADIL, KUTEB",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"MENAK, ANSARIE",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"SINGH, KAGI THALDS",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"BALON, SUKARNO",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"GUIAMADIL, SANDIALI",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"MENAK, HEDARIE",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"SINGH, PENDA",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"BEDO, MAWIA",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"GUIAMALUDIN, NORODIN",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"MOHAMAD, NASSER",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"TALMBO, ALADIN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"BRAHIM, NORUDIN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"KAWAN, BAHNARIN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"MONIB, JASMINE",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"TANGKLI, BASIR",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"DEMAGUIL, JUN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"KUSAIN, ODI",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"NASA, KARNAIN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"TULINO, MUSTALA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"ESMAEL, SAMANODIN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"LUMAMBAS, DAGENDENGAN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"SALASAL, AMIER",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"GANAUT, MOHAMAD SR.",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"MAGALUYAN, NURODIN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
SANGGUNIANG BAYAN,"SAMAMA, SAID",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSALIBO
MAYOR,"ABDULATIP, WAHINA",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
MAYOR,"SINDATOK, EDRIS",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
MAYOR,"UTTO, BASSIR",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
VICE-MAYOR,"ALIM, MOADZ",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
VICE-MAYOR,"DUKAY, KASAN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
VICE-MAYOR,"UTTO, DATUMERO",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"ABDULATIP, MOHALIDEN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"DIMAUKOM, NASRULLAH",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"MUSTAPHA, SADRIA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"SILONGAN, ALIBAI",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"AMPATUAN, HABIB",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"GUIAMAN, ABE",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"MUTALIB, ABDULMAUTI",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"SINDATOK, ZAMZAMA",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"DELEON, DATUELA",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"KAMAONG, JIEN FARHANNA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"QUITUAR, SAUDI",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"TAMBUNGALAN, DATUALI",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"DIAO, TONG",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"KANAKAN, JUSTINE",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"SADAM, TALIB",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"ZUMBAGA, SAUDI",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"DIMAUKOM, BAILON",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"MAMALAPAT, ZALDY",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"SALIK, ZAI",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"DIMAUKOM, JABBER",IND,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"MANAMPAN, EDRIS",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
SANGGUNIANG BAYAN,"SANTUA, ZAINAL",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUSAUDIAMPATUAN
MAYOR,"AMPATUAN, DATU ANDAL V",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
MAYOR,"PANGILAMEN, ESMAEL",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
VICE-MAYOR,"AMPATUAN, BAI NICOLE",AKSYON,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
VICE-MAYOR,"DUKAY, WANAY",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"ABDULRAHIM, HARBIE",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"DUKAY, JHUNETH",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"GUIAMBANGAN, ABOHER",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"UTTO, BANSIO",AKSYON,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"AMPATUAN, BAI PAULA",AKSYON,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"DUKAY, MHARK",UNA,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"KABALU, AIRA",AKSYON,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"DUKAY, FUENTES",AKSYON,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"ESMAIL, TAMANO",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
SANGGUNIANG BAYAN,"SAPALON, MOHAMMAD SHAMRON",NP,BFT_BARMM\MAGUINDANAO DEL SUR\DATUUNSAY
MAYOR,"ALI, MIELYN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
VICE-MAYOR,"MASUKAT, NORODIN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
SANGGUNIANG BAYAN,"ABDULATIP, SAUDS",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
SANGGUNIANG BAYAN,"ALI, RAZUL",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
SANGGUNIANG BAYAN,"KALI, SALMAN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
SANGGUNIANG BAYAN,"PENDATUN, MYLAH",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
SANGGUNIANG BAYAN,"ABDULLAH, SADHAT",NP,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
SANGGUNIANG BAYAN,"DATULANGALEN, NASRUDIN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
SANGGUNIANG BAYAN,"MASULOT, HAIMAN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
SANGGUNIANG BAYAN,"PENDATUN, NORUDIN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\GENSKPENDATUN
MAYOR,"MIDTIMBANG, BOBBY",NP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
MAYOR,"MIDTIMBANG, DATU GUIADZALI(PFP",IND,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
VICE-MAYOR,"MIDTIMBANG, BOY",NP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
VICE-MAYOR,"MIDTIMBANG, MIDPANTAO JR.",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"ALI, MACMA",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"MIDTIMBANG, ABDUL-HARIKAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"MIDTIMBANG, FHAI",IND,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"UNAS, RASOL",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"DATUKUSIN, MUSTAPHA",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"MIDTIMBANG, BABYDHATS",IND,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"MUSTAPHA, SAHUD",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"USOP, DATU-VAN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"GUIOMLA, MANAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"MIDTIMBANG, DATU NORODHEN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"SAMAMA, DATUDIDO",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
SANGGUNIANG BAYAN,"WATAMAMA, PERCIVAL",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\GUINDULUNGAN
MAYOR,"ALIM, ABDILLAH",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
MAYOR,"AMPATUAN, AKMAD JR.",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
VICE-MAYOR,"AMPATUAN, AKMAD SR.",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
VICE-MAYOR,"KULOD, KAGI FAHAD",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"AMPATUAN, BAI APPLE",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"DIMAUDTANG, GUIADEL",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"MASUKAT, MAMA JR",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"SAPAL, KUDTA",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"AMPATUAN, DATU MACKY",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"ESDAIL, BAJUNAID",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"MASUKAT, TOHAMIE",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"ZAMORA, BADRUDIN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"AMPATUAN, MAHIR",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"ESMAIL, SALIK",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"MAULANA, ABDILA",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"ZANGCALA, PAGALAD",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"AMPATUAN, MOHAMAD NOR",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"MAMASAPANO, DATU KEDSI",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"PANANGGULON, RASMIN",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
SANGGUNIANG BAYAN,"ZUKARNO, HAJJIE AMIL",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\MAMASAPANO
MAYOR,"DELNA, SAAD",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
MAYOR,"MANGUDADATU, KUYA TONG",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
VICE-MAYOR,"ANDAO, JUN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
VICE-MAYOR,"MANGUDADATU, BAI KULEH",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"ALFONSO, KURAO",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"GALUKEN, LARRY",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"MAYUNTING, RAZUL",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"SULTAN, TELLY",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"ALON, ABDULBAYAN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"GANDALIBO, OMAR",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"RAJAHBUAYAN, HARON",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"SUMAPAL, BULAWANBAI",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"CALIMBOL, SALABIE",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"GUIAMADIN, SANNY",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"RAJAHBUAYAN, TAYANDATU",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"USOP, OMRA",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"DILANGALEN, DATU PRINCE",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"KADALIM, EDWIN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"SALIK, BETH",NP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
SANGGUNIANG BAYAN,"UTTO, MOHAMMADALI",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\MANGUDADATU
MAYOR,"BEDA, SAMIR",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
MAYOR,"MONTAWAL, VICMAN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
VICE-MAYOR,"BELOTINDOS, ANTONIO",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
VICE-MAYOR,"MONTAWAL, OHTO",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"ABUBACAR, MHODZ",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"LAGUIALAOT, MUSTAPHA",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MONTAWAL, DATU KOTS",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"SIMBUANGAN, BEBS",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"ANGKEB, NORODIN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MACALNAS, REYNIE",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MONTAWAL, JEROME",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"TACUKEN, PULOT JR.",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"DATUAN, LUNA",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MAKAKENA, DATUAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MONTAWAL, KUNDO",NP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"TACUKEN, RADZAK",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"ESMAEL, COSME",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MANGADAD, PONG",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MONTAWAL, MANGIE",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"TAGITIKAN, ABDULMANAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"FEROLINO, BIKONG",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MINDALAGAT, TAYA",NP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MONTAWAL, TATA JOLICIES",NP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"KAKIM, ABZ",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MOHAMAD, NASRUDIN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"PAGLAS, BAI BEBING",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"KONTANG, MAMA",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"MONTAWAL, BALOMOL JR.",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
SANGGUNIANG BAYAN,"SAMBUTUAN, TATO",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGAGAWAN
MAYOR,"MAMASABULOD, ABDILAH",AKSYON,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
MAYOR,"PENDATUKAN, NORSIDA",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
VICE-MAYOR,"MAMASABULOD, MOHAMIDEN",AKSYON,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
VICE-MAYOR,"PAYAG, HARIS",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
SANGGUNIANG BAYAN,"ADIL, ZANDRA BAI",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
SANGGUNIANG BAYAN,"MAMASABULOD, JAY",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
SANGGUNIANG BAYAN,"MATALAM, ARNEL",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
SANGGUNIANG BAYAN,"BATUA, MERIAM",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
SANGGUNIANG BAYAN,"MAMASABULOD, SALIK",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
SANGGUNIANG BAYAN,"MURRAY, EDDIE",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
SANGGUNIANG BAYAN,"MAMASABULOD, ABDUL",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
SANGGUNIANG BAYAN,"MATALAM, ABRAHAM",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
SANGGUNIANG BAYAN,"TIMAN, ABDULBADI",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGALUNGAN
MAYOR,"KAMARUDIN, ALADIN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
MAYOR,"LANGKUNO, RAISA",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
VICE-MAYOR,"GUMONSANG, SAGANDINGAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
VICE-MAYOR,"KALI, OMAR",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"ALI, GULEDTEM",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"DIMALEN, MUSTAPHA",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"MALIK, SUKOR",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"TALUSAN, JEFFREY",NP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"AMBALGAN, LAHMUDIN",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"DIMASINGKIL, SAMER",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"MANALAO, JOMARIE",UBJP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"TALUSAN, PARANG",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"ANOK, TENG",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"HADJIMONIB, NORODIN",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"MANGELEN, DATU SAMAD II",NP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"TULUGANAN, BADRUDIN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"BACILON, MIKE",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"KASULUTAN, SIMBA",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"MANGELEN, GUIAHAREA",UMP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"ZAMAN, JERRY",LAKAS,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"BALUNO, NADZID",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"KITALOK, SAMUAN",NP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"PAKAMAMAN, SANDIALI",IND,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"DALAMA, TAMMY",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
SANGGUNIANG BAYAN,"LANGKUNO, JAYHAN",PFP,BFT_BARMM\MAGUINDANAO DEL SUR\PAGLAT
